笑	笑 😄
怒	怒 😡 💢
哼	哼 😤️
哭	哭 😭
惊	惊 😱
嘔	嘔 🤮
汗	汗 😅
冷 	冷 🥶
熱	熱 🥵
色	色 😍

睏	睏 😪
睡	睡 😴
酷	酷 😎
看	看 👀
聽	聽 👂
讚	讚 👍
踩	踩 👎
謝	謝 🙏
死	死 💀
刀	刀 🔪
石	石 🗿️
糞	糞 💩
電	電 ⚡


哈哈	哈哈 😄
笑死	笑死 😆
生氣	生氣 😡 💢
媽的	媽的 🤬
哭了	哭了 😭
恐怖	恐怖 😱
害怕	害怕 😱
哈人	哈人 😱
無語	無語 😅
白眼	白眼 🙄
挑眉	挑眉 🤨
吐了	吐了 🤮
好冷	好冷 🥶
好熱	好熱 🥵
昇天	昇天 😇

奇怪	奇怪 🤔
疑惑	疑惑 🤔
好睏	好睏 😪
睏了	睏了 😪
睡覺	睡覺 😴
睡了	睡了 😴
敬禮	敬禮 🫡
感謝	感謝 🙏
感恩	感恩 🙏
骷髏	骷髏 💀
石像	石像 🗿️
大便	大便 💩
天狗	天狗 👺
炸彈	炸彈 💣
咖啡	咖啡 ☕
閃電	閃電 ⚡

停頓	停頓 、
間隔	間隔 ・
破折	破折 ——

平方	平方 ²
立方	立方 ³
乘	乘 ×
除	除 ÷
小於等於	小於等於 ≤
大於等於	大於等於 ≥
不等於	不等於 ≠
屬於	屬於 ∈ ∋
不屬於	不屬於 ∉ ∌
升	升 ♯
降	降 ♭
度	度 °

左右	左右 ⿰
上下	上下 ⿱
左中右	左中右 ⿲
上中下	上中下 ⿳
右上	右上 ⿺
右下	右下 ⿸
左下	左下 ⿹
左上	左上 ⿽
包圍	包圍 ⿴
右包圍	右包圍 ⿷
左包圍	左包圍 ⿼
下包圍	下包圍 ⿵
